match_importance,is_neutral,same_confederation,home_continent_advantage,elo_diff,elo_momentum_diff,rank_diff,points_diff,squad_value_total_delta,squad_value_top11_delta,squad_value_attack_delta,squad_value_mid_delta,squad_value_def_delta,star_player_value_delta,squad_depth_delta,home_days_rest,away_days_rest,form_win_rate_diff,form_weighted_diff,goal_diff_delta,h2h_home_win_rate,h2h_draw_rate,h2h_matches_played,tournament_wr_delta,wc_appearances_diff,wc_knockout_rate_diff,wc_best_finish_diff,wc_goals_per_game_diff,injury_count_delta,injury_burden_delta,star_injury_flag
0.2,0,1,1,400.37078327648146,47.29422970666656,-85.0,240.0,,,,,,,,59.0,106.0,0.3,0.024026341785,1.1,0.3333333333333333,0.2916666666666667,24,0.0483682983682983,15,0.5333333333333333,6,1.103448275862069,0,0.0,0
0.8,1,1,0,113.7183374547442,46.66777233373455,-51.0,109.0,,,,,,,,5.0,6.0,0.2,0.04665926304,0.6000000000000001,0.2631578947368421,0.4210526315789473,38,0.1075514874141876,0,0.0,0,0.0,0,0.0,0
0.8,0,1,1,-67.20557529034295,27.074795843079983,12.0,-48.0,,,,,,,,6.0,5.0,-0.0999999999999999,-0.01089531729,-0.2,0.4666666666666667,0.3333333333333333,15,-0.1044657097288676,3,-0.6666666666666666,-5,-0.5555555555555555,0,0.0,0
0.8,1,1,0,74.86423862620927,-24.701480458537617,-21.0,89.0,,,,,,,,5.0,4.0,-0.0999999999999999,0.0727441106,0.0,0.2222222222222222,0.3333333333333333,18,0.0011904761904761,-4,-0.0571428571428571,0,0.0851063829787234,0,0.0,0
0.2,0,1,0,-187.8387968238096,-99.40418459405193,55.0,-141.0,,,,,,,,52.0,29.0,-0.3999999999999999,-0.09419467511,-1.9,0.125,0.5,8,0.0446808510638297,0,0.0,0,0.0,0,0.0,0
0.8,1,1,0,129.2470126496014,12.92872168154986,-25.0,73.0,,,,,,,,4.0,5.0,0.2999999999999999,0.07470205807,0.5000000000000001,0.3636363636363636,0.4090909090909091,22,-0.0028571428571428,2,0.0833333333333333,4,-0.1304347826086956,0,0.0,0
0.2,0,0,0,-0.7735709374924227,17.217879888425614,,,,,,,,,,21.0,1061.0,-0.1,-0.01874593398,0.3999999999999999,0.4166666666666667,0.2083333333333333,24,-0.2666666666666666,0,0.0,0,0.0,0,0.0,0
0.2,0,1,0,-148.54039527824443,-64.35118829763815,110.0,-385.0,,,,,,,,40.0,83.0,0.2,0.06426823498,1.2000000000000002,0.1428571428571428,0.5714285714285714,7,-0.1834600760456273,-1,0.0,-1,0.0,0,0.0,0
0.8,1,1,0,-21.67562119494596,-68.30145642741604,-13.0,62.0,,,,,,,,3.0,4.0,-0.1,-0.0472033113299999,-0.1,0.4615384615384615,0.1538461538461538,13,-0.027906976744186,6,0.3333333333333333,6,0.8695652173913043,0,0.0,0
0.8,0,1,1,-52.21112078017154,13.302534659970206,10.0,-43.0,,,,,,,,4.0,3.0,0.0999999999999999,0.0090825264,0.5,0.4545454545454545,0.1818181818181818,11,-0.2168978562421185,-8,-0.3571428571428571,-5,-0.1371158392434988,0,0.0,0
0.2,0,1,0,-165.76422476278458,-81.75989063145244,110.0,-385.0,,,,,,,,2.0,2.0,0.0,0.03086784268,0.6,0.125,0.5,8,-0.1907081014223871,-1,0.0,-1,0.0,0,0.0,0
0.2,0,1,1,128.99066695680676,22.74546865862112,-14.0,52.0,,,,,,,,5.0,53.0,-0.0999999999999999,-0.0843811816399999,-0.5,0.2,0.4,5,-0.0720874350825517,14,0.5333333333333333,5,0.7701149425287357,0,0.0,0
0.2,0,1,0,154.05048294246717,79.41131907486238,-32.0,71.0,,,,,,,,86.0,118.0,0.0999999999999999,0.0416385581999999,-0.5,,,0,-0.077302008336491,-1,0.0,-2,0.0,0,0.0,0
0.2,0,1,1,-16.21577736461154,-19.676224762826905,-2.0,3.0,,,,,,,,33.0,5.0,0.0,0.025870930605,-0.2,0.2727272727272727,0.4090909090909091,22,0.1061643835616438,1,0.0,1,0.3333333333333333,0,0.0,0
0.8,1,1,0,60.79528357820709,-9.874723417508903,-16.0,71.0,,,,,,,,2.0,2.0,-0.3,-0.0320747395999999,-0.6000000000000001,0.3333333333333333,0.2222222222222222,9,0.1351766513056835,14,0.3571428571428571,6,0.9148936170212766,0,0.0,0
0.2,1,1,0,51.1369855185153,-50.78956766279521,23.0,-52.0,,,,,,,,157.0,56.0,0.1999999999999999,0.0296475705,0.1999999999999999,0.3333333333333333,0.0,3,0.0204545454545454,0,0.0,0,0.0,0,0.0,0
0.2,0,1,1,64.6303831852706,20.982280493147982,-43.0,132.0,,,,,,,,66.0,34.0,0.0,0.02446833,1.4,0.6666666666666666,0.0,3,0.0260300461103674,14,0.2857142857142857,6,0.9375,0,0.0,0
0.3,0,1,0,-205.78638437792665,-27.11537049518188,20.0,-78.0,,,,,,,,65.0,86.0,-0.3,-0.07179386699,-0.8999999999999999,0.3333333333333333,0.0,3,-0.0289855072463767,0,0.0,0,0.0,0,0.0,0
0.8,0,1,1,-49.540844581688134,-53.82453647418515,7.0,-34.0,,,,,,,,3.0,3.0,-0.0999999999999999,-0.05095713244,-0.4999999999999999,0.1724137931034483,0.5862068965517241,29,-0.0863636363636363,0,-0.3333333333333333,-5,-0.0917874396135265,0,0.0,0
0.2,0,1,0,199.83074128274575,51.42995021556521,-72.0,276.0,,,,,,,,15.0,553.0,0.2,0.0064396050499999,1.0,0.36,0.24,25,0.0647123893805309,0,0.0,0,0.0,0,0.0,0
0.3,0,1,0,-261.7598610545133,-17.812471068294144,61.0,-173.0,,,,,,,,2.0,2.0,-0.2,0.0022359608499999,-0.7,0.5,0.5,2,,0,0.0,0,0.0,0,0.0,0
0.2,1,1,0,88.16912137035092,56.364017780879294,-9.0,14.0,,,,,,,,66.0,91.0,0.4,-0.0155980688199999,1.0,0.5,0.5,2,0.015266106442577,7,0.7777777777777778,5,0.4561403508771929,0,0.0,0
0.6,1,0,0,141.8847385578449,-99.81974451126098,,,,,,,,,,119.0,81.0,-0.4,-0.08623522335,-0.9,,,0,0.2252252252252252,0,0.0,0,0.0,0,0.0,0
0.2,0,1,0,-294.7364560884,-17.8229691078825,85.0,-237.0,,,,,,,,130.0,21.0,-0.4,-0.06357267047,-1.4,0.1666666666666666,0.0,6,-0.1083277878125296,-8,-0.0606060606060606,0,-1.0833333333333337,0,0.0,0
0.2,0,1,1,-45.88588440493504,-10.907085979442629,10.0,-59.0,,,,,,,,91.0,94.0,-0.2,-0.13810474906,0.2999999999999998,0.1578947368421052,0.3684210526315789,19,-0.1882072135785006,-13,-0.2321428571428571,0,0.2728571428571429,0,0.0,0
0.2,0,0,1,72.80948127458373,13.60723641358004,-12.0,54.0,,,,,,,,4.0,130.0,0.1999999999999999,0.10092340461,1.0,1.0,0.0,1,0.158212138840411,-7,-0.2051282051282051,0,-0.5971014492753622,0,0.0,0
0.2,1,0,0,228.22010120780237,-21.727542963878705,-76.0,238.0,,,,,,,,91.0,92.0,0.0,0.1252876491099999,0.5,0.5294117647058824,0.0,17,0.0609189388810241,10,0.0499999999999999,0,-0.1811594202898551,0,0.0,0
0.6,0,1,0,87.3496203719485,-6.616329066738672,-28.0,96.0,,,,,,,,11.0,70.0,0.0,0.0110718843299999,0.6,0.4117647058823529,0.2941176470588235,17,0.0854021847070506,0,0.0,0,0.0,0,0.0,0
